City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Kudahuvadhoo,MV,2021-04-23 20:52:12,2.6708,72.8944,82.89,68,15,11.65,few clouds
243,Plouzane,FR,2021-04-23 20:52:13,48.3833,-4.6167,62.6,58,0,12.66,clear sky
244,Waipawa,NZ,2021-04-23 20:52:13,-41.4122,175.5153,60.8,77,15,8.05,few clouds
245,Carnarvon,AU,2021-04-23 20:50:40,-24.8667,113.6333,62.6,88,0,5.75,clear sky
246,Saint-Georges,GD,2021-04-23 20:50:49,12.0564,-61.7485,86.0,66,20,20.71,few clouds
247,Vaini,TO,2021-04-23 20:52:13,-21.2,-175.2,80.6,89,20,2.3,few clouds
248,Pemangkat,ID,2021-04-23 20:52:14,1.1667,108.9667,78.1,81,67,7.14,broken clouds
249,Eureka,US,2021-04-23 20:52:14,40.8021,-124.1637,61.0,67,100,1.99,overcast clouds
250,Carupano,VE,2021-04-23 20:52:14,10.6678,-63.2585,82.72,70,7,17.18,clear sky
251,Nijar,ES,2021-04-23 20:52:15,36.9665,-2.206,64.4,63,0,19.57,light rain
252,Waddan,LY,2021-04-23 20:52:15,29.1614,16.139,84.61,13,24,13.29,few clouds
253,Maromitsa,RU,2021-04-23 20:52:15,59.8683,48.0123,40.39,84,18,6.06,few clouds
254,Hamilton,US,2021-04-23 20:52:16,39.1834,-84.5333,59.0,41,75,8.05,broken clouds
255,Usvyaty,RU,2021-04-23 20:52:16,55.7456,30.7533,33.78,89,65,4.38,broken clouds
256,Saint George,US,2021-04-23 20:51:07,37.1041,-113.5841,80.01,10,1,17.27,clear sky
257,Namibe,AO,2021-04-23 20:49:33,-15.1961,12.1522,78.69,77,1,6.58,clear sky
258,Saint-Philippe,RE,2021-04-23 20:52:17,-21.3585,55.7679,77.0,73,75,5.75,light rain
259,Atar,MR,2021-04-23 20:52:17,20.5169,-13.0499,83.19,11,0,5.44,clear sky
